id,p_x,p_y,p_z,o_x,o_y,o_z,o_w
0,0.1,0.2,0.45,0.706433772,-0.030843565,-0.030843565,0.706433772
1,0.098931277,0.18754441,0.449999161,-0.707911279,0.02015779,0.020062436,-0.705728548
2,0.098223137,0.175060848,0.44996019,-0.707935402,0.01999425,0.019907368,-0.705713393
3,0.097762905,0.162569818,0.449886235,0.709897893,-0.012582901,-0.012391721,0.704083161
4,0.097321195,0.150077728,0.449783129,-0.709912859,0.012594403,0.012413045,-0.70406749
5,0.096800643,0.137588937,0.449653224,0.710986783,-0.023404277,-0.023285189,0.70242995
6,0.095972008,0.125112172,0.449501717,-0.710991536,0.023588915,0.023481415,-0.70241243
7,0.094739126,0.112666899,0.449330867,-0.710380775,0.052485981,0.052687028,-0.699877456
8,0.092876194,0.100289565,0.44914559,-0.710362374,0.052822897,0.053037415,-0.699844319
9,0.090294856,0.088039482,0.448948499,0.70587376,-0.099330092,-0.100169055,0.694148347
10,0.086784465,0.076003991,0.448744727,-0.705812747,0.0997786,0.100632529,-0.694079024
11,0.082282784,0.064302298,0.448537719,0.694047275,-0.162596097,-0.164436147,0.681778294
12,0.076620083,0.053087242,0.44833322,-0.69392743,0.163098284,0.164953802,-0.681655276
13,0.069793256,0.042544058,0.44813574,0.670798242,-0.239465005,-0.242671748,0.658632411
14,0.061712053,0.032885307,0.447951615,-0.670616515,0.23995739,0.243178685,-0.658451265
15,0.05247304,0.0243414,0.447786082,-0.63234166,0.325152624,0.330032836,-0.620884952
16,0.042102451,0.017146717,0.447645356,0.632109604,-0.325586974,-0.330479509,0.620655995
17,0.030822996,0.011522227,0.447534318,0.576591965,-0.413011497,-0.419743913,0.566372895
18,0.018785993,0.007656401,0.447457692,-0.576322746,0.413372613,0.420114517,-0.566108619
19,0.006325071,0.005687059,0.447418486,-0.50442763,0.49553902,0.504117975,-0.495841621
20,-0.006308555,0.005687059,0.447418509,0.463405249,-0.532647785,-0.542083178,0.455727705
21,-0.018802508,0.007656401,0.447457662,-0.46306811,0.532929527,0.542370789,-0.455398696
22,-0.03080648,0.011522227,0.447534384,0.375480512,-0.595509263,-0.606402119,0.369674955
23,-0.042118967,0.017146717,0.447645271,-0.375072225,0.595756799,0.60665371,-0.36927759
24,-0.052456524,0.0243414,0.44778619,0.28607815,-0.641567998,-0.653449274,0.282052907
25,-0.061728569,0.032885307,0.447951475,-0.285597003,0.641774924,0.653658168,-0.28158533
26,-0.06977674,0.042544058,0.448135892,0.202580177,-0.67166092,-0.68395821,0.200085099
27,-0.076636599,0.053087242,0.448333027,-0.202060169,0.671813493,0.68410966,-0.199580288
28,-0.082266268,0.064302298,0.448537918,0.13083594,-0.688950621,-0.701036063,0.129527748
29,-0.08680098,0.076003991,0.448744483,0.130337223,-0.689045234,-0.701125106,0.129044407
30,-0.09027834,0.088039482,0.448948744,0.074634576,-0.697554127,-0.708766999,0.074143517
31,-0.09289271,0.100289565,0.449145296,0.074221252,-0.697602712,-0.708804212,0.073744499
32,-0.09472261,0.112666899,0.44933116,0.035963255,-0.701354236,-0.710997052,0.035945417
33,-0.095988523,0.125112172,0.449501374,-0.035686098,0.701377228,0.711001664,-0.035680802
34,-0.096784127,0.137588937,0.449653566,-0.015626769,0.703264179,0.710581272,-0.015797311
35,-0.097337711,0.150077728,0.449782736,0.015516633,-0.703279757,-0.710570472,0.015697842
36,-0.097746389,0.162569818,0.449886627,0.013842099,-0.704891065,-0.709042456,0.01399211
37,-0.098239653,0.175060848,0.449959748,-0.013909955,0.704907173,0.709023591,-0.014069051
38,-0.098914761,0.18754441,0.449999602,0.030592524,-0.706422407,-0.706466879,0.030594611
39,-0.1,0.2,0.45,0.030843565,-0.706433772,-0.706433772,0.030843565
